Day,Cow,Pig,Poultry,CH4,NH4
0,1.556135653,0.0,0.794125683,0.198188,2.01501836
1,1.556135653,0.0,0.794125683,0.374099,2.01918704
2,1.556135653,0.0,0.794125683,0.478677,2.04025996
3,1.556135653,0.0,0.794125683,0.536239,2.07208644
4,1.556135653,0.0,0.794125683,0.563551,2.10563132
5,1.556135653,0.0,0.794125683,0.574883,2.1376720999999996
6,1.556135653,0.0,0.794125683,0.583642,2.1691673999999996
7,1.556135653,0.0,0.794125683,0.591959,2.20090408
8,1.556135653,0.0,0.794125683,0.597956,2.2329357
9,1.556135653,0.0,0.794125683,0.601075,2.26503262
10,1.556135653,0.0,0.794125683,0.601989,2.29689736
11,1.556135653,0.0,0.794125683,0.601714,2.32824152
12,1.556135653,0.0,0.794125683,0.600898,2.35884835
13,1.556135653,0.0,0.794125683,0.599979,2.38859475
14,1.556135653,0.0,0.794125683,0.599102,2.41743138
15,1.556135653,0.0,0.794125683,0.598379,2.44535308
16,1.556135653,0.0,0.794125683,0.597813,2.4723750100000004
17,1.556135653,0.0,0.794125683,0.597408,2.4985198
18,1.556135653,0.0,0.794125683,0.597131,2.5238117
19,1.556135653,0.0,0.794125683,0.596963,2.5482748
20,1.556135653,0.0,0.794125683,0.596874,2.5719325800000004
21,1.556135653,0.0,0.794125683,0.596842,2.5948077499999997
22,1.556135653,0.0,0.794125683,0.596853,2.6169222899999998
23,1.556135653,0.0,0.794125683,0.596894,2.6382977
24,1.556135653,0.0,0.794125683,0.596956,2.65895523
25,1.556135653,0.0,0.794125683,0.597031,2.6789158900000003
26,1.556135653,0.0,0.794125683,0.597114,2.69820055
27,1.556135653,0.0,0.794125683,0.597201,2.7168296599999997
28,1.556135653,0.0,0.794125683,0.597291,2.7348232699999997
29,1.556135653,0.0,0.794125683,0.597381,2.75220142
30,1.361618696,0.0,1.191188525,0.665443,2.78686942
31,1.361618696,0.0,1.191188525,0.682456,2.83020448
32,1.361618696,0.0,1.191188525,0.686796,2.87427625
33,1.361618696,0.0,1.191188525,0.687823,2.9170578799999998
34,1.361618696,0.0,1.191188525,0.688548,2.95847176
35,1.361618696,0.0,1.191188525,0.689315,2.99863714
36,1.361618696,0.0,1.191188525,0.690027,3.03759453
37,1.361618696,0.0,1.191188525,0.690625,3.07534739
38,1.361618696,0.0,1.191188525,0.691109,3.11189466
39,1.361618696,0.0,1.191188525,0.691498,3.14724405
40,1.361618696,0.0,1.191188525,0.691808,3.18141117
41,1.361618696,0.0,1.191188525,0.692052,3.21441792
42,1.361618696,0.0,1.191188525,0.692246,3.24628893
43,1.361618696,0.0,1.191188525,0.6924,3.27705233
44,1.361618696,0.0,1.191188525,0.692524,3.30673907
45,1.361618696,0.0,1.191188525,0.692623,3.33538105
46,1.361618696,0.0,1.191188525,0.692701,3.36301031
47,1.361618696,0.0,1.191188525,0.69276,3.3896587
48,1.361618696,0.0,1.191188525,0.692804,3.4153580700000004
49,1.361618696,0.0,1.191188525,0.692834,3.44013913
50,1.361618696,0.0,1.191188525,0.692854,3.46403304
51,1.361618696,0.0,1.191188525,0.692864,3.48706884
52,1.361618696,0.0,1.191188525,0.692866,3.50927659
53,1.361618696,0.0,1.191188525,0.692861,3.5306838
54,1.361618696,0.0,1.191188525,0.692851,3.55131879
55,1.361618696,0.0,1.191188525,0.692833,3.57120786
56,1.361618696,0.0,1.191188525,0.692808,3.5903764299999996
57,1.361618696,0.0,1.191188525,0.692776,3.60884993
